listing_id,card_name,price,date_sold,grading_company,grade,set,rarity,auction_house,sale_type,split,grade_numeric,card_name_encoded,rarity_encoded,roll_mean_7d,roll_median_7d,roll_std_7d,roll_count_7d,roll_mean_14d,roll_median_14d,roll_std_14d,roll_count_14d,roll_mean_30d,roll_median_30d,roll_std_30d,roll_count_30d,momentum_abs_7d,momentum_pct_7d,momentum_abs_14d,momentum_pct_14d,card_volume_7d,card_volume_14d,card_volume_30d,market_volume_7d,market_volume_14d,market_volume_30d,roll_cv_7d,roll_cv_14d,roll_cv_30d,day_of_week,month,days_since_start
ebay-397367566567,Blastoise,100.34,2025-12-14,PSA,10,,Prism,eBay,Auction,test,10,0,1,,,,1,1260.19,1260.19,1608.9366277762465,2,1456.7933333333333,1850.0,1187.5593240479961,3,,,,,1,2,3,11,23,68,,1.276741307085635,0.8151872313492164,6,12,1808
ebay-365736853497,Venusaur,910.0,2025-07-25,PSA,10,Pocket Monsters JP,Prism,eBay,Auction,val,10,6,1,,,,0,,,,1,477.5,477.5,31.81980515339464,2,,,,,0,1,2,14,30,72,,,0.06663833539977936,4,7,1666
313177132535225189,Lugia,300.0,2023-01-09,PSA,9,,Holo,eBay,Auction,train,9,2,0,,,,1,170.5,170.5,198.69700551341987,2,154.83333333333334,123.5,143.09641272000263,3,,,,,1,2,3,12,24,42,,1.165378331457008,0.9241964223035691,0,1,738
goldin-202602-1718-0651-ca6b11f4-82e1-4d60-b15e-946513f2c288,Lugia,519.0,2026-03-16,PSA,8,Japanese Neo Genesis,Holo,Goldin Auctions,Auction,test,8,2,0,911.7128571428572,315.0,1339.945833665355,7,1400.8646666666668,769.99,1479.4241578970934,15,1895.795652173913,775.0,2095.6439701173786,23,-917.1596428571428,-50.14891102890676,-1422.9265833333334,-50.39064354822026,7,15,23,74,154,275,1.4697015876956065,1.0560792866718223,1.1054165926133965,0,3,1900
-428252184795949595,Lugia,75.0,2024-01-18,PSA,9,Neo Revelation,Standard,eBay,Auction,train,9,2,2,173.0075,167.01999999999998,40.036551945274546,4,173.0075,167.01999999999998,40.036551945274546,4,169.32375,154.135,34.861869033372265,8,,,7.367500000000007,4.447899058198508,4,4,8,9,14,29,0.2314151233054899,0.2314151233054899,0.20588883150398138,3,1,1112
857372819310699550,Lugia,91.0,2023-12-13,PSA,8,Japanese Neo Genesis,Holo,eBay,Auction,train,8,2,0,129.25,129.25,102.17692988145612,2,129.25,129.25,102.17692988145612,2,129.25,129.25,102.17692988145612,2,,,,,2,2,2,12,20,20,0.7905371750983066,0.7905371750983066,0.7905371750983066,2,12,1076
ebay-377091273424,Pikachu,1125.0,2026-04-11,PSA,10,,Standard,eBay,Auction,test,10,4,2,2903.1276923076925,2600.0,1940.9632968586923,13,3742.3168181818182,2450.0,5090.337556665931,22,3399.5097674418603,2600.0,3775.56115259547,43,-2051.3511965811963,-41.403974920180566,705.5826076555027,23.23491483745012,13,22,43,94,178,338,0.6685766189346715,1.3602102130783893,1.1106192983338858,5,4,1926
ebay-356741502572,Blastoise,397.65,2025-05-07,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,FixedPrice,val,9,0,0,,,,1,,,,1,32.495000000000005,32.495000000000005,3.5284628381208734,2,,,,,1,1,2,17,38,76,,,0.10858479267951601,2,5,1587
3103966578048827481,Pikachu,15.5,2023-03-05,PSA,8,Japanese Basic (Base Set JP),Standard,eBay,Auction,train,8,4,2,,,,1,90.525,90.525,106.10137251704145,2,68.2625,46.0,66.55818726247485,4,,,44.525000000000006,96.79347826086958,1,2,4,13,34,74,,1.172067081105125,0.9750329575165697,6,3,793
ebay-306860843281,Blastoise,674.99,2026-04-06,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,FixedPrice,test,9,0,0,623.0,623.0,16.97056274847714,2,623.6666666666666,625.0,12.055427546683417,3,433.628125,489.5,149.09584600601724,16,,,254.38939393939387,68.88845123357251,2,3,16,91,147,320,0.027240068617138263,0.01932992124000548,0.343833431021148,0,4,1921
fanatics-weekly-5281783,Pikachu,86.4,2025-08-25,PSA,10,,Standard,Fanatics Collect,Auction,val,10,4,2,,,,1,800.0,800.0,424.26406871192853,2,616.665,474.995,436.65470723444633,6,,,500.00333333333333,166.6696296625518,1,2,6,30,57,111,,0.5303300858899107,0.7080906281926919,0,8,1697
ebay-137009398550,Venusaur,487.55,2026-02-10,PSA,9,,Standard,eBay,Auction,test,9,6,2,365.0,365.0,21.213203435596427,2,335.0,350.0,54.08326913195984,3,603.192,350.0,618.9448314026057,5,,,-670.48,-66.68257946453436,2,3,5,24,52,125,0.05811836557697651,0.16144259442376072,1.0261157830385776,1,2,1866
ebay-267415392153,Pikachu,2400.0,2026-01-12,PSA,10,Pocket Monsters JP,Prism,eBay,BestOffer,test,10,4,1,811.6633333333333,800.0,682.569740051032,3,681.2475,545.0,615.3325320710745,4,642.7128571428572,550.0,441.10888356180595,7,,,89.91416666666657,15.205326944757594,3,4,7,20,38,78,0.840951798632888,0.9032437287051689,0.6863234159072684,0,1,1837
ebay-236412005914,Pikachu,160.0,2025-10-30,PSA,8,Pocket Monsters JP,Prism,eBay,BestOffer,test,8,4,1,,,,0,,,,1,203.66666666666666,100.0,189.16218790586382,3,,,,,0,1,3,26,49,88,,,0.9287832466736358,3,10,1763
-3637818406568137925,Blastoise,130.39,2021-09-17,PSA,9,Japanese Team Rocket,Holo,eBay,Auction,train,9,0,0,,,,0,256.25,256.25,146.7246570962086,2,234.0,217.5,99.51281324533036,6,,,33.375,14.974761637689287,0,2,6,9,22,38,,0.5725840276925214,0.425268432672352,4,9,259
ebay-317315494639,Pikachu,600.0,2025-10-03,PSA,10,Japanese Basic (Base Set JP),Standard,eBay,BestOffer,test,10,4,2,,,,1,300.4,138.0,281.75751986415554,5,375.4983333333333,422.495,262.3070234679317,12,,,-82.79600000000005,-21.606697355922307,1,5,12,18,39,93,,0.9379411446876017,0.6985570911577905,4,10,1736
ebay-116087434253,Lugia,925.88,2025-01-03,PSA,10,,Prism,eBay,BestOffer,train,10,2,1,,,,0,,,,0,692.2325,684.5,46.35611673051718,4,,,,,0,0,4,13,25,79,,,0.06696610854086912,4,1,1463
-8870380379069385849,Lugia,82.0,2021-06-21,PSA,9,,Standard,eBay,Auction,train,9,2,2,,,,0,,,,0,,,,0,,,,,0,0,0,7,12,27,,,,0,6,171
-3176927263488633703,Venusaur,407.0,2021-07-28,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,9,6,0,353.875,353.875,38.00698948877693,2,340.54333333333335,327.0,35.43255047739766,3,340.54333333333335,327.0,35.43255047739766,3,,,,,2,3,3,13,23,28,0.10740230162847596,0.10404711239117193,0.10404711239117193,2,7,208
ebay-356653598896,Pikachu,299.99,2025-04-01,PSA,10,Japanese Basic (Base Set JP),Standard,eBay,BestOffer,val,10,4,2,,,,0,1467.6666666666667,320.0,2196.2641765810713,3,518.545,230.75,1101.2545991607603,12,,,1228.5600000000002,513.8125243963643,0,3,12,9,29,86,,1.496432552746585,2.123739693104283,1,4,1551
ebay-364929129246,Lugia,163.0,2025-05-19,PSA,10,Neo Revelation,Standard,eBay,BestOffer,val,10,2,2,,,,1,,,,1,755.0,755.0,671.7514421272201,2,,,,,1,1,2,32,52,93,,,0.8897370094400266,0,5,1599
ebay-134421233597,Venusaur,179.99,2026-02-23,PSA,8,Pocket Monsters JP,Prism,eBay,FixedPrice,test,8,6,1,,,,1,129.99,129.99,7.071067811865485,2,129.99,129.99,7.071067811865485,2,,,,,1,2,2,59,95,152,,0.054397013707712015,0.054397013707712015,0,2,1879
270902132601556857,Venusaur,380.75,2021-07-26,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,9,6,0,,,,1,320.44,320.44,9.277240969167506,2,320.44,320.44,9.277240969167506,2,,,,,1,2,2,12,23,26,,0.028951569620420378,0.028951569620420378,0,7,206
3500168902332809752,Blastoise,57.0,2024-09-22,PSA,8,Japanese Team Rocket,Holo,eBay,Auction,train,8,0,0,,,,1,51.75,54.0,9.742518497116988,4,61.9375,57.5,22.20108990246071,8,,,-30.41666666666667,-37.01825557809331,1,4,8,22,57,111,,0.18826122699742973,0.35844342930309925,6,9,1360
-4339986315175807888,Lugia,600.0,2021-05-18,PSA,8,Neo Genesis,Holo,eBay,Auction,train,8,2,0,,,,0,,,,1,475.0,475.0,49.49747468305833,2,,,,,0,1,2,6,16,34,,,0.10420520985907017,1,5,137
-1137322086897652761,Blastoise,24.5,2024-12-09,PSA,9,,Standard,eBay,Auction,train,9,0,2,,,,0,,,,1,62.166666666666664,26.0,76.45968436590184,3,,,,,0,1,3,41,70,127,,,1.2299144938214772,0,12,1438
ebay-376835668141,Blastoise,3000.0,2026-01-21,PSA,10,Pocket Monsters JP,Prism,eBay,FixedPrice,test,10,0,1,,,,0,,,,0,,,,1,,,,,0,0,1,30,61,105,,,,2,1,1846
ebay-358283330854,Blastoise,182.52,2026-03-11,PSA,9,Japanese Team Rocket,Holo,eBay,Auction,test,9,0,0,490.0,480.0,31.22498999199199,3,373.66,435.0,162.17786871210265,11,325.07130434782607,289.0,159.40603245983192,23,159.96749999999997,48.470226417095276,93.12833333333339,33.197084108151806,3,11,23,81,141,256,0.06372446937141223,0.4340252333996217,0.49037251313105007,2,3,1895
2247491395187903983,Lugia,787.0,2023-10-18,PSA,10,,Holo,eBay,Auction,train,10,2,0,,,,1,1014.165,1014.165,298.1657164229315,2,757.2075,841.665,462.3964917236433,4,,,,,1,2,4,20,32,60,,0.29400118957263516,0.6106602110037781,2,10,1020
-8049033669388080485,Venusaur,173.5,2024-10-27,PSA,9,Japanese Basic (Base Set JP),Holo,eBay,Auction,train,9,6,0,467.69,562.41,339.72226553465697,3,381.0175,341.705,327.0921901008949,4,323.97076923076924,370.0,224.18985166823597,13,,,-10.990833333333399,-2.803724410620539,3,4,13,29,49,113,0.7263834281995701,0.8584702542557624,0.69200641835851,6,10,1395
-2326120874004758485,Mewtwo,51.99,2024-11-15,PSA,9,Pocket Monsters JP,Prism,eBay,Auction,train,9,3,1,56.99,30.0,47.18172633552104,3,65.4925,60.5,42.10993815795348,4,70.18818181818182,76.0,28.9865281874811,11,,,-7.37892857142856,-10.125955694961757,3,4,11,24,44,98,0.8278948295406394,0.6429734421186163,0.4129830327072572,4,11,1414
-4165852686431159814,Blastoise,310.0,2021-10-01,PSA,10,Japanese Team Rocket,Holo,eBay,Auction,train,10,0,0,228.75,228.75,37.123106012293746,2,875.325,852.76,749.1784959318218,4,875.325,852.76,749.1784959318218,4,-1293.15,-84.96944608712793,,,2,4,4,8,20,43,0.1622868022395355,0.8558860948011559,0.8558860948011559,4,10,273
