tier,tier_index,variant_id,label,input_dim,global_rank,within_tier_rank,r2_log_mean_train,r2_log_std_train,r2_log_mean_val,r2_log_std_val,r2_log_mean_test,r2_log_std_test,mae_usd_mean_train,mae_usd_std_train,mae_usd_mean_val,mae_usd_std_val,mae_usd_mean_test,mae_usd_std_test,delta_vs_v1,delta_vs_v2,gap_train_val_r2_log,gap_val_test_r2_log
Sanity floor,1,1,Sanity (train mean),,16,3,0.0,0.0,-0.20245897769927979,0.0,-0.8704420328140259,0.0,426.3582458496094,0.0,663.9166259765625,0.0,1536.568359375,0.0,0.0,-0.7659072160720826,0.20245897769927979,0.6679830551147461
Monolithic reference,2,2,Monolithic (XGBoost raw),31.0,7,1,0.8535920262336731,0.01966791541412935,0.37400839328765867,0.0087388405534822,-0.10453481674194336,0.05534197325483072,210.50706787109374,10.469168441294299,576.4578247070312,2.8605088447601563,1404.7118408203125,17.70452418033594,0.7659072160720826,0.0,0.47958363294601447,0.47854321002960204
Unimodal MLPs,3,3,Vision-identity only,256.0,15,2,0.4090969920158386,0.046741286915505595,-0.011733722686767579,0.030867064082025317,-0.7768035888671875,0.03914358850976535,388.41978759765624,12.39649317617346,639.7674072265625,7.759319962618598,1471.1586669921876,11.61532720686176,0.0936384439468384,-0.6722687721252442,0.4208307147026062,0.7650698661804199
Unimodal MLPs,3,4,Vision-condition only,256.0,12,4,0.16511187553405762,0.013021772604782003,-0.10923285484313965,0.02576006407478629,-0.6738235712051391,0.058315927198340355,405.28148193359374,5.01723677309132,656.5264282226562,2.566694662212497,1500.3709228515625,8.120874124688441,0.19661846160888674,-0.5692887544631958,0.27434473037719725,0.5645907163619995
Unimodal MLPs,3,5,Market-LSTM only,64.0,4,2,0.3774901270866394,0.018531560287110924,0.21475423574447633,0.0225644567613222,0.23598904609680177,0.05558130461934745,376.2273803710938,2.0395662868349675,600.1459594726563,6.122245502901299,1300.7257568359375,21.572987507095657,1.1064310789108276,0.34052386283874514,0.1627358913421631,-0.02123481035232544
Unimodal MLPs,3,6,Market-XGBoost only,64.0,11,3,-0.08191450834274291,0.12028208988929835,-0.32390594482421875,0.1206155332037073,-0.6621509552001953,0.28505015095199154,539.2914794921875,49.84095413942635,648.1724243164062,7.599983266428517,1459.5049560546875,36.83730990325933,0.2082910776138306,-0.557616138458252,0.24199143648147584,0.33824501037597654
Within-modality fusion,4,7,Vision full (id + cond),512.0,14,1,0.4883340001106262,0.05288892764369784,0.03036094903945923,0.0370813472462717,-0.735071849822998,0.05039688170463781,361.7629821777344,16.208612428966763,637.0407104492188,7.297313573112171,1455.4038818359375,10.884008720306928,0.13537018299102788,-0.6305370330810547,0.457973051071167,0.7654327988624572
Within-modality fusion,4,8,Market full (LSTM + XGB),128.0,10,2,0.6322730302810669,0.07465214939121745,-0.14799375534057618,0.042405461036295965,-0.38375747203826904,0.20923236895173075,312.0258056640625,21.622975291513185,608.1300659179688,8.93794717672441,1352.20712890625,77.32820483146925,0.48668456077575684,-0.2792226552963257,0.780266785621643,0.23576371669769286
Cross-modal fusion,5,9,Fusion: id + mkt-LSTM,320.0,2,1,0.6429415583610535,0.014531095265012992,0.3965515971183777,0.025793981012051652,0.30935468673706057,0.03663762039657869,316.08795166015625,5.716295155251749,542.8483764648438,7.154619577702536,1274.4927001953124,17.44474775388493,1.1797967195510863,0.41388950347900394,0.24638996124267581,0.0871969103813171
Cross-modal fusion,5,10,Fusion: id + cond + mkt-LSTM,576.0,1,1,0.6607487201690674,0.026490117301058536,0.4312561869621277,0.027320516396777093,0.33960599899291993,0.06190446006872356,319.11444091796875,11.200936931646325,535.2351196289062,9.62092029368323,1252.5618408203125,33.57681456152644,1.2100480318069458,0.4441408157348633,0.2294925332069397,0.09165018796920776
